date,cpi_yoy
1995-01-01,2.5
1995-02-01,2.68
1995-03-01,2.58
1995-04-01,2.79
1995-05-01,3.25
1995-06-01,2.94
1995-07-01,2.72
1995-08-01,3.22
1995-09-01,3.28
1995-10-01,2.88
1995-11-01,2.96
1995-12-01,2.66
1996-01-01,2.44
1996-02-01,2.55
1996-03-01,1.84
1996-04-01,1.42
1996-05-01,1.54
1996-06-01,1.46
1996-07-01,1.89
1996-08-01,1.74
1996-09-01,1.46
1996-10-01,2.3
1996-11-01,2.28
1996-12-01,2.37
1997-01-01,1.9
1997-02-01,1.88
1997-03-01,2.11
1997-04-01,1.81
1997-05-01,2.15
1997-06-01,2.04
1997-07-01,2.07
1997-08-01,1.98
1997-09-01,2.81
1997-10-01,2.71
1997-11-01,2.27
1997-12-01,2.63
1998-01-01,2.15
1998-02-01,2.33
1998-03-01,1.68
1998-04-01,1.45
1998-05-01,1.83
1998-06-01,2.3
1998-07-01,2.42
1998-08-01,2.4
1998-09-01,2.32
1998-10-01,1.84
1998-11-01,1.78
1998-12-01,1.83
1999-01-01,5.41
1999-02-01,5.56
1999-03-01,4.91
1999-04-01,5.2
1999-05-01,5.15
1999-06-01,5.01
1999-07-01,5.38
1999-08-01,5.79
1999-09-01,6.04
1999-10-01,5.57
1999-11-01,5.44
1999-12-01,5.58
2000-01-01,2.91
2000-02-01,2.61
2000-03-01,2.51
2000-04-01,2.11
2000-05-01,1.8
2000-06-01,2.3
2000-07-01,2.85
2000-08-01,2.72
2000-09-01,3.01
2000-10-01,2.99
2000-11-01,2.61
2000-12-01,2.71
2001-01-01,3.2
2001-02-01,2.98
2001-03-01,3.4
2001-04-01,2.18
2001-05-01,2.58
2001-06-01,2.58
2001-07-01,2.45
2001-08-01,2.5
2001-09-01,1.78
2001-10-01,1.92
2001-11-01,2.22
2001-12-01,2.84
2002-01-01,2.55
2002-02-01,2.24
2002-03-01,2.14
2002-04-01,2.58
2002-05-01,2.67
2002-06-01,2.43
2002-07-01,2.64
2002-08-01,2.63
2002-09-01,2.94
2002-10-01,2.56
2002-11-01,2.42
2002-12-01,2.3
2003-01-01,1.84
2003-02-01,2.14
2003-03-01,2.34
2003-04-01,2.39
2003-05-01,2.34
2003-06-01,1.88
2003-07-01,1.91
2003-08-01,1.97
2003-09-01,1.84
2003-10-01,1.98
2003-11-01,2.28
2003-12-01,3.03
2004-01-01,2.93
2004-02-01,2.89
2004-03-01,2.75
2004-04-01,1.98
2004-05-01,2.13
2004-06-01,2.26
2004-07-01,3.22
2004-08-01,2.93
2004-09-01,2.91
2004-10-01,2.78
2004-11-01,2.27
2004-12-01,2.75
2005-01-01,2.95
2005-02-01,3.1
2005-03-01,2.59
2005-04-01,3.07
2005-05-01,2.39
2005-06-01,2.64
2005-07-01,3.38
2005-08-01,2.76
2005-09-01,2.48
2005-10-01,2.52
2005-11-01,2.33
2005-12-01,1.83
2006-01-01,2.05
2006-02-01,1.8
2006-03-01,2.18
2006-04-01,1.95
2006-05-01,2.67
2006-06-01,2.34
2006-07-01,2.27
2006-08-01,2.63
2006-09-01,2.15
2006-10-01,2.34
2006-11-01,2.86
2006-12-01,2.17
2007-01-01,2.34
2007-02-01,2.48
2007-03-01,2.77
2007-04-01,2.24
2007-05-01,1.84
2007-06-01,2.23
2007-07-01,2.42
2007-08-01,2.53
2007-09-01,2.65
2007-10-01,2.36
2007-11-01,2.48
2007-12-01,2.59
2008-01-01,2.31
2008-02-01,3.04
2008-03-01,3.05
2008-04-01,2.45
2008-05-01,2.7
2008-06-01,2.29
2008-07-01,2.64
2008-08-01,3.01
2008-09-01,2.56
2008-10-01,2.89
2008-11-01,2.92
2008-12-01,3.09
2009-01-01,7.1
2009-02-01,6.68
2009-03-01,6.2
2009-04-01,5.82
2009-05-01,5.58
2009-06-01,5.68
2009-07-01,5.9
2009-08-01,6.03
2009-09-01,6.32
2009-10-01,6.23
2009-11-01,6.68
2009-12-01,6.38
2010-01-01,3.75
2010-02-01,3.6
2010-03-01,2.96
2010-04-01,2.44
2010-05-01,2.63
2010-06-01,2.51
2010-07-01,2.76
2010-08-01,2.86
2010-09-01,2.72
2010-10-01,2.35
2010-11-01,1.85
2010-12-01,1.88
2011-01-01,2.38
2011-02-01,2.49
2011-03-01,2.05
2011-04-01,2.24
2011-05-01,2.46
2011-06-01,2.15
2011-07-01,2.31
2011-08-01,2.39
2011-09-01,2.01
2011-10-01,2.29
2011-11-01,2.55
2011-12-01,2.93
2012-01-01,3.18
2012-02-01,2.48
2012-03-01,2.15
2012-04-01,2.44
2012-05-01,2.64
2012-06-01,2.78
2012-07-01,4.09
2012-08-01,3.82
2012-09-01,3.83
2012-10-01,3.77
2012-11-01,3.63
2012-12-01,3.18
2013-01-01,3.25
2013-02-01,2.74
2013-03-01,2.59
2013-04-01,2.39
2013-05-01,2.45
2013-06-01,3.3
2013-07-01,2.39
2013-08-01,2.67
2013-09-01,2.04
2013-10-01,2.01
2013-11-01,2.55
2013-12-01,2.56
2014-01-01,2.15
2014-02-01,2.0
2014-03-01,2.39
2014-04-01,2.16
2014-05-01,2.34
2014-06-01,2.41
2014-07-01,2.2
2014-08-01,3.06
2014-09-01,3.12
2014-10-01,2.21
2014-11-01,2.36
2014-12-01,2.16
2015-01-01,4.07
2015-02-01,3.77
2015-03-01,3.79
2015-04-01,4.04
2015-05-01,4.34
2015-06-01,3.8
2015-07-01,3.74
2015-08-01,3.65
2015-09-01,3.52
2015-10-01,4.3
2015-11-01,4.36
2015-12-01,3.79
2016-01-01,2.69
2016-02-01,3.39
2016-03-01,3.5
2016-04-01,2.65
2016-05-01,2.43
2016-06-01,2.91
2016-07-01,2.53
2016-08-01,2.68
2016-09-01,2.91
2016-10-01,2.45
2016-11-01,2.44
2016-12-01,1.29
2017-01-01,1.29
2017-02-01,1.56
2017-03-01,1.39
2017-04-01,2.31
2017-05-01,1.85
2017-06-01,1.89
2017-07-01,2.12
2017-08-01,2.75
2017-09-01,2.16
2017-10-01,2.68
2017-11-01,2.63
2017-12-01,2.24
2018-01-01,2.48
2018-02-01,2.56
2018-03-01,2.33
2018-04-01,2.4
2018-05-01,2.29
2018-06-01,2.4
2018-07-01,2.67
2018-08-01,3.19
2018-09-01,2.54
2018-10-01,3.29
2018-11-01,2.35
2018-12-01,2.34
2019-01-01,2.6
2019-02-01,2.67
2019-03-01,2.4
2019-04-01,2.35
