year,month,China_Policy_Index
1995,1,192.9119
1995,2,193.9879
1995,3,88.22704
1995,4,131.0347
1995,5,177.0969
1995,6,79.09624
1995,7,61.73269
1995,8,52.98312
1995,9,76.82008
1995,10,153.8713
1995,11,100.0615
1995,12,143.1167
1996,1,128.4295
1996,2,111.1582
1996,3,69.44067
1996,4,63.35744
1996,5,84.17336
1996,6,36.83881
1996,7,47.68481
1996,8,55.95354
1996,9,51.04103
1996,10,53.61976
1996,11,85.29987
1996,12,69.18519
1997,1,88.32371
1997,2,115.3487
1997,3,59.41059
1997,4,123.2713
1997,5,20.57983
1997,6,62.72387
1997,7,42.59028
1997,8,27.12609
1997,9,70.86267
1997,10,83.15766
1997,11,69.05575
1997,12,20.72247
1998,1,77.70583
1998,2,98.6848
1998,3,64.9212
1998,4,19.43978
1998,5,41.80422
1998,6,68.29856
1998,7,100.4361
1998,8,38.2254
1998,9,74.3297
1998,10,128.1187
1998,11,51.11583
1998,12,69.66882
1999,1,123.6697
1999,2,98.32405
1999,3,82.27813
1999,4,16.56603
1999,5,116.0394
1999,6,101.5225
1999,7,66.9092
1999,8,39.80082
1999,9,102.3025
1999,10,78.2762
1999,11,62.01696
1999,12,36.99379
2000,1,44.00444
2000,2,9.066709
2000,3,44.39914
2000,4,35.44141
2000,5,71.1358
2000,6,36.85698
2000,7,18.6074
2000,8,27.14087
2000,9,58.01005
2000,10,70.60663
2000,11,140.368
2000,12,112.6116
2001,1,97.32545
2001,2,65.15025
2001,3,114.6285
2001,4,107.1836
2001,5,95.76117
2001,6,54.47955
2001,7,118.1754
2001,8,131.4792
2001,9,202.8777
2001,10,297.2354
2001,11,128.7835
2001,12,136.8472
2002,1,159.8944
2002,2,163.7012
2002,3,140.2054
2002,4,117.4855
2002,5,33.76059
2002,6,116.7775
2002,7,88.06828
2002,8,140.531
2002,9,188.8887
2002,10,147.9945
2002,11,109.7591
2002,12,85.20969
2003,1,141.7657
2003,2,88.59653
2003,3,184.786
2003,4,124.3102
2003,5,102.0359
2003,6,87.32002
2003,7,92.37225
2003,8,89.33423
2003,9,127.8213
2003,10,106.5136
2003,11,37.15931
2003,12,97.13573
2004,1,101.1584
2004,2,46.90383
2004,3,85.353
2004,4,43.16583
2004,5,137.9872
2004,6,59.12109
2004,7,50.48696
2004,8,88.03999
2004,9,92.03104
2004,10,107.5005
2004,11,93.9905
2004,12,96.87821
2005,1,75.73044
2005,2,32.59745
2005,3,99.00125
2005,4,50.36789
2005,5,105.3502
2005,6,42.97226
2005,7,35.55521
2005,8,92.99914
2005,9,68.26114
2005,10,32.72948
2005,11,86.75798
2005,12,57.22021
2006,1,83.60844
2006,2,64.7151
2006,3,84.2251
2006,4,133.5047
2006,5,66.02269
2006,6,110.9243
2006,7,42.70708
2006,8,36.35946
2006,9,71.51866
2006,10,74.12514
2006,11,43.8959
2006,12,67.67839
2007,1,80.17084
2007,2,64.65912
2007,3,70.07433
2007,4,68.33134
2007,5,47.79153
2007,6,77.08946
2007,7,136.7206
2007,8,56.73624
2007,9,90.57121
2007,10,92.5426
2007,11,108.4285
2007,12,93.82693
2008,1,142.8052
2008,2,157.7543
2008,3,174.0117
2008,4,145.5145
2008,5,100.6836
2008,6,157.0119
2008,7,152.1179
2008,8,205.6284
2008,9,298.387
2008,10,187.5682
2008,11,194.237
2008,12,232.7664
2009,1,223.5469
2009,2,170.9781
2009,3,184.4958
2009,4,152.9133
2009,5,91.1647
2009,6,131.5288
2009,7,103.9319
2009,8,92.43109
2009,9,160.9516
2009,10,75.79626
2009,11,68.89027
2009,12,74.85823
2010,1,95.78208
2010,2,103.4444
2010,3,90.3957
2010,4,46.74543
2010,5,156.5486
2010,6,130.0135
2010,7,70.81567
2010,8,104.103
2010,9,121.5974
2010,10,74.11596
2010,11,82.42307
2010,12,110.6732
2011,1,172.6804
2011,2,46.08258
2011,3,131.2484
2011,4,153.0111
2011,5,26.14408
2011,6,39.59001
2011,7,207.3972
2011,8,186.7315
2011,9,158.0556
2011,10,238.7096
2011,11,363.5231
2011,12,324.4626
2012,1,298.7026
2012,2,236.0895
2012,3,242.728
2012,4,155.8289
2012,5,216.252
2012,6,304.5527
2012,7,301.5229
2012,8,215.3175
2012,9,161.979
2012,10,300.7021
2012,11,306.3358
2012,12,192.7684
2013,1,208.5545
2013,2,162.256
2013,3,83.76907
2013,4,147.9532
2013,5,82.95887
2013,6,40.40321
2013,7,115.4675
2013,8,139.7595
2013,9,69.7908
2013,10,97.59776
2013,11,81.02541
2013,12,137.2325
2014,1,103.4444
2014,2,66.52955
2014,3,134.9426
2014,4,84.26826
2014,5,80.76277
2014,6,102.2317
2014,7,127.4803
2014,8,151.0019
2014,9,185.7619
2014,10,240.4953
2014,11,112.739
2014,12,93.96096
2015,1,232.2151
2015,2,117.6837
2015,3,82.09329
2015,4,105.3184
2015,5,127.5528
2015,6,123.3431
2015,7,268.7092
2015,8,224.0586
2015,9,393.2341
2015,10,244.868
2015,11,104.7491
2015,12,151.6145
2016,1,261.9421
2016,2,269.0192
2016,3,323.1559
2016,4,286.1773
2016,5,260.2575
2016,6,357.2088
2016,7,558.2222
2016,8,288.7802
2016,9,388.7496
2016,10,261.8989
2016,11,475.6709
2016,12,646.911
2017,1,694.8494
2017,2,464.5228
2017,3,533.3044
2017,4,322.3443
2017,5,451.9785
2017,6,328.5536
2017,7,162.6933
2017,8,265.2581
2017,9,314.0012
2017,10,291.5836
2017,11,268.0439
2017,12,269.3548
2018,1,122.9374
2018,2,211.7802
2018,3,245.5517
2018,4,291.307
2018,5,374.1038
2018,6,465.4168
2018,7,561.0262
2018,8,502.7537
2018,9,516.4866
2018,10,621.4264
2018,11,677.5376
2018,12,935.3103
2019,1,654.9626
2019,2,720.1579
2019,3,753.1077
2019,4,502.55
