date,lpr_1y
1995-01-01,5.63
1995-02-01,5.97
1995-03-01,5.58
1995-04-01,5.61
1995-05-01,5.49
1995-06-01,5.43
1995-07-01,5.79
1995-08-01,5.47
1995-09-01,5.68
1995-10-01,5.59
1995-11-01,5.8
1995-12-01,5.79
1996-01-01,5.95
1996-02-01,5.66
1996-03-01,5.72
1996-04-01,5.6
1996-05-01,5.72
1996-06-01,5.9
1996-07-01,5.99
1996-08-01,5.67
1996-09-01,6.04
1996-10-01,6.15
1996-11-01,5.98
1996-12-01,6.28
1997-01-01,5.77
1997-02-01,5.68
1997-03-01,5.59
1997-04-01,6.25
1997-05-01,6.09
1997-06-01,5.96
1997-07-01,6.03
1997-08-01,5.76
1997-09-01,6.48
1997-10-01,6.02
1997-11-01,6.02
1997-12-01,6.14
1998-01-01,6.09
1998-02-01,6.04
1998-03-01,5.84
1998-04-01,6.09
1998-05-01,6.37
1998-06-01,6.26
1998-07-01,6.31
1998-08-01,5.89
1998-09-01,5.78
1998-10-01,5.95
1998-11-01,5.98
1998-12-01,6.18
1999-01-01,5.62
1999-02-01,6.25
1999-03-01,5.9
1999-04-01,5.84
1999-05-01,5.71
1999-06-01,5.57
1999-07-01,6.05
1999-08-01,5.89
1999-09-01,5.6
1999-10-01,5.59
1999-11-01,5.76
1999-12-01,6.15
2000-01-01,5.75
2000-02-01,5.48
2000-03-01,5.72
2000-04-01,5.69
2000-05-01,5.19
2000-06-01,5.7
2000-07-01,5.64
2000-08-01,5.81
2000-09-01,6.02
2000-10-01,5.86
2000-11-01,5.56
2000-12-01,5.37
2001-01-01,6.09
2001-02-01,5.56
2001-03-01,5.53
2001-04-01,5.5
2001-05-01,5.53
2001-06-01,5.44
2001-07-01,5.33
2001-08-01,5.32
2001-09-01,5.4
2001-10-01,5.28
2001-11-01,5.22
2001-12-01,5.37
2002-01-01,5.27
2002-02-01,5.61
2002-03-01,4.76
2002-04-01,5.49
2002-05-01,5.5
2002-06-01,4.82
2002-07-01,5.15
2002-08-01,5.12
2002-09-01,4.9
2002-10-01,5.01
2002-11-01,4.93
2002-12-01,5.49
2003-01-01,5.31
2003-02-01,5.36
2003-03-01,5.24
2003-04-01,4.86
2003-05-01,4.97
2003-06-01,5.16
2003-07-01,4.81
2003-08-01,5.19
2003-09-01,4.99
2003-10-01,4.95
2003-11-01,5.16
2003-12-01,5.1
2004-01-01,4.94
2004-02-01,5.24
2004-03-01,4.79
2004-04-01,5.13
2004-05-01,5.12
2004-06-01,4.94
2004-07-01,5.07
2004-08-01,4.75
