city,year,treat,batch,first_treat_year
七台河市,1990,0,0,0
七台河市,1991,0,0,0
七台河市,1992,0,0,0
七台河市,1993,0,0,0
七台河市,1994,0,0,0
七台河市,1995,0,0,0
七台河市,1996,0,0,0
七台河市,1997,0,0,0
七台河市,1998,0,0,0
七台河市,1999,0,0,0
七台河市,2000,0,0,0
七台河市,2001,0,0,0
七台河市,2002,0,0,0
七台河市,2003,0,0,0
七台河市,2004,0,0,0
七台河市,2005,0,0,0
七台河市,2006,0,0,0
七台河市,2007,0,0,0
七台河市,2008,0,0,0
七台河市,2009,0,0,0
七台河市,2010,0,0,0
七台河市,2011,0,0,0
七台河市,2012,0,0,0
七台河市,2013,0,0,0
七台河市,2014,0,0,0
七台河市,2015,0,0,0
七台河市,2016,0,0,0
七台河市,2017,0,0,0
七台河市,2018,0,0,0
七台河市,2019,0,0,0
七台河市,2020,0,0,0
七台河市,2021,0,0,0
七台河市,2022,0,0,0
七台河市,2023,0,0,0
三亚市,1990,0,2,2016
三亚市,1991,0,2,2016
三亚市,1992,0,2,2016
三亚市,1993,0,2,2016
三亚市,1994,0,2,2016
三亚市,1995,0,2,2016
三亚市,1996,0,2,2016
三亚市,1997,0,2,2016
三亚市,1998,0,2,2016
三亚市,1999,0,2,2016
三亚市,2000,0,2,2016
三亚市,2001,0,2,2016
三亚市,2002,0,2,2016
三亚市,2003,0,2,2016
三亚市,2004,0,2,2016
三亚市,2005,0,2,2016
三亚市,2006,0,2,2016
三亚市,2007,0,2,2016
三亚市,2008,0,2,2016
三亚市,2009,0,2,2016
三亚市,2010,0,2,2016
三亚市,2011,0,2,2016
三亚市,2012,0,2,2016
三亚市,2013,0,2,2016
三亚市,2014,0,2,2016
三亚市,2015,0,2,2016
三亚市,2016,1,2,2016
三亚市,2017,1,2,2016
三亚市,2018,1,2,2016
三亚市,2019,1,2,2016
三亚市,2020,1,2,2016
三亚市,2021,1,2,2016
三亚市,2022,1,2,2016
三亚市,2023,1,2,2016
三明市,1990,0,0,0
三明市,1991,0,0,0
三明市,1992,0,0,0
三明市,1993,0,0,0
三明市,1994,0,0,0
三明市,1995,0,0,0
三明市,1996,0,0,0
三明市,1997,0,0,0
三明市,1998,0,0,0
三明市,1999,0,0,0
三明市,2000,0,0,0
三明市,2001,0,0,0
三明市,2002,0,0,0
三明市,2003,0,0,0
三明市,2004,0,0,0
三明市,2005,0,0,0
三明市,2006,0,0,0
三明市,2007,0,0,0
三明市,2008,0,0,0
三明市,2009,0,0,0
三明市,2010,0,0,0
三明市,2011,0,0,0
三明市,2012,0,0,0
三明市,2013,0,0,0
三明市,2014,0,0,0
三明市,2015,0,0,0
三明市,2016,0,0,0
三明市,2017,0,0,0
三明市,2018,0,0,0
三明市,2019,0,0,0
三明市,2020,0,0,0
三明市,2021,0,0,0
三明市,2022,0,0,0
三明市,2023,0,0,0
三沙市,1990,0,0,0
三沙市,1991,0,0,0
三沙市,1992,0,0,0
三沙市,1993,0,0,0
三沙市,1994,0,0,0
三沙市,1995,0,0,0
三沙市,1996,0,0,0
三沙市,1997,0,0,0
三沙市,1998,0,0,0
三沙市,1999,0,0,0
三沙市,2000,0,0,0
三沙市,2001,0,0,0
三沙市,2002,0,0,0
三沙市,2003,0,0,0
三沙市,2004,0,0,0
三沙市,2005,0,0,0
三沙市,2006,0,0,0
三沙市,2007,0,0,0
三沙市,2008,0,0,0
三沙市,2009,0,0,0
三沙市,2010,0,0,0
三沙市,2011,0,0,0
三沙市,2012,0,0,0
三沙市,2013,0,0,0
三沙市,2014,0,0,0
三沙市,2015,0,0,0
三沙市,2016,0,0,0
三沙市,2017,0,0,0
三沙市,2018,0,0,0
三沙市,2019,0,0,0
三沙市,2020,0,0,0
三沙市,2021,0,0,0
三沙市,2022,0,0,0
三沙市,2023,0,0,0
三门峡市,1990,0,0,0
三门峡市,1991,0,0,0
三门峡市,1992,0,0,0
三门峡市,1993,0,0,0
三门峡市,1994,0,0,0
三门峡市,1995,0,0,0
三门峡市,1996,0,0,0
三门峡市,1997,0,0,0
三门峡市,1998,0,0,0
三门峡市,1999,0,0,0
三门峡市,2000,0,0,0
三门峡市,2001,0,0,0
三门峡市,2002,0,0,0
三门峡市,2003,0,0,0
三门峡市,2004,0,0,0
三门峡市,2005,0,0,0
三门峡市,2006,0,0,0
三门峡市,2007,0,0,0
三门峡市,2008,0,0,0
三门峡市,2009,0,0,0
三门峡市,2010,0,0,0
三门峡市,2011,0,0,0
三门峡市,2012,0,0,0
三门峡市,2013,0,0,0
三门峡市,2014,0,0,0
三门峡市,2015,0,0,0
三门峡市,2016,0,0,0
三门峡市,2017,0,0,0
三门峡市,2018,0,0,0
三门峡市,2019,0,0,0
三门峡市,2020,0,0,0
三门峡市,2021,0,0,0
三门峡市,2022,0,0,0
三门峡市,2023,0,0,0
上海市,1990,0,2,2016
上海市,1991,0,2,2016
上海市,1992,0,2,2016
上海市,1993,0,2,2016
上海市,1994,0,2,2016
上海市,1995,0,2,2016
上海市,1996,0,2,2016
上海市,1997,0,2,2016
上海市,1998,0,2,2016
上海市,1999,0,2,2016
上海市,2000,0,2,2016
上海市,2001,0,2,2016
上海市,2002,0,2,2016
