Year,Month,News_Based_Policy_Uncert_Index
1900,1,139.90619
1900,2,121.12039
1900,3,166.51979
1900,4,87.03699
1900,5,89.715352
1900,6,103.10805
1900,7,102.41327
1900,8,99.281354
1900,9,92.600636
1900,10,103.01507
1900,11,95.546746
1900,12,64.224593
1901,1,104.35174
1901,2,82.148786
1901,3,124.6523
1901,4,82.402976
1901,5,86.546687
1901,6,74.826557
1901,7,73.201299
1901,8,79.444272
1901,9,83.678517
1901,10,115.47318
1901,11,94.66475
1901,12,112.02224
1902,1,80.282482
1902,2,78.627546
1902,3,55.016086
1902,4,84.912273
1902,5,65.616471
1902,6,54.038282
1902,7,39.298415
1902,8,48.456306
1902,9,52.507825
1902,10,92.371858
1902,11,92.383934
1902,12,78.105461
1903,1,64.413964
1903,2,73.844285
1903,3,61.639631
1903,4,69.287958
1903,5,49.629601
1903,6,50.680809
1903,7,51.208584
1903,8,63.712969
1903,9,58.793827
1903,10,55.443192
1903,11,57.137105
1903,12,70.595838
1904,1,78.077679
1904,2,77.57004
1904,3,77.331705
1904,4,58.723112
1904,5,71.896731
1904,6,76.418297
1904,7,104.23483
1904,8,63.715695
1904,9,69.98422
1904,10,70.024441
1904,11,64.584926
1904,12,54.960366
1905,1,77.148046
1905,2,75.377165
1905,3,59.440429
1905,4,51.65136
1905,5,59.888568
1905,6,63.332885
1905,7,62.316912
1905,8,78.311791
1905,9,41.451714
1905,10,61.382093
1905,11,89.725279
1905,12,67.780098
1906,1,49.470768
1906,2,83.587613
1906,3,50.29425
1906,4,56.534778
1906,5,53.650515
1906,6,73.567633
1906,7,62.777046
1906,8,55.594091
1906,9,35.037425
1906,10,51.174845
1906,11,60.362371
1906,12,56.3315
1907,1,25.74543
1907,2,43.755667
1907,3,50.183773
1907,4,43.281678
1907,5,52.231292
1907,6,46.692071
1907,7,59.453416
1907,8,52.806111
1907,9,54.233781
1907,10,42.457633
1907,11,46.875471
1907,12,63.565715
1908,1,64.227216
1908,2,66.827839
1908,3,75.554971
1908,4,67.46501
1908,5,64.180282
1908,6,62.429034
1908,7,34.748674
1908,8,43.244932
1908,9,44.909507
1908,10,71.205967
1908,11,57.980591
1908,12,74.44731
1909,1,100.4308
1909,2,102.30044
1909,3,112.70161
1909,4,84.106809
1909,5,74.621857
1909,6,62.346961
1909,7,76.759093
1909,8,79.355665
1909,9,48.982962
1909,10,55.31692
